date,date_simple,open,high,low,close,volume,rsi,is_alert
2025-11-17 09:15:00+05:30,2025-11-17 09:15,26006,26019.9,25971,26012,293850,,
2025-11-17 09:20:00+05:30,2025-11-17 09:20,26012,26032.7,26001.2,26006,194850,,
2025-11-17 09:25:00+05:30,2025-11-17 09:25,26006,26043,26005.5,26036,126450,,
2025-11-17 09:30:00+05:30,2025-11-17 09:30,26036,26050.2,26035,26035,203175,,
2025-11-17 09:35:00+05:30,2025-11-17 09:35,26035,26047,26030,26030,76875,,
2025-11-17 09:40:00+05:30,2025-11-17 09:40,26032,26046.1,26023.2,26045.8,64575,,
2025-11-17 09:45:00+05:30,2025-11-17 09:45,26045.8,26047.2,26016.6,26032.9,75225,,
2025-11-17 09:50:00+05:30,2025-11-17 09:50,26032.9,26042,26025.5,26035.5,34800,,
2025-11-17 09:55:00+05:30,2025-11-17 09:55,26035.5,26049,26033.5,26035,45000,,
2025-11-17 10:00:00+05:30,2025-11-17 10:00,26035,26045,26020,26029.9,47475,,
2025-11-17 10:05:00+05:30,2025-11-17 10:05,26029.9,26035,26017.8,26017.8,31575,,
2025-11-17 10:10:00+05:30,2025-11-17 10:10,26024.5,26031.2,26015,26025,39975,,
2025-11-17 10:15:00+05:30,2025-11-17 10:15,26025,26039.9,26021,26039,56475,,
2025-11-17 10:20:00+05:30,2025-11-17 10:20,26036,26041.7,26035,26035.1,22275,,
2025-11-17 10:25:00+05:30,2025-11-17 10:25,26035.1,26038.3,26001.2,26008,64725,48.6,
2025-11-17 10:30:00+05:30,2025-11-17 10:30,26008,26022,26005,26020,53175,54.69,
2025-11-17 10:35:00+05:30,2025-11-17 10:35,26020,26020.4,26000,26006,38250,38.74,ALERT
2025-11-17 10:40:00+05:30,2025-11-17 10:40,26006,26014.2,25992.6,26010.4,93825,41.0,
2025-11-17 10:45:00+05:30,2025-11-17 10:45,26010.4,26020,26003.1,26010,24225,42.42,
2025-11-17 10:50:00+05:30,2025-11-17 10:50,26010,26014.8,26000,26014.8,18450,37.19,ALERT
2025-11-17 10:55:00+05:30,2025-11-17 10:55,26014.8,26023,26010,26021.1,32700,44.84,
2025-11-17 11:00:00+05:30,2025-11-17 11:00,26021.1,26035,26017.7,26028.6,27750,47.11,
2025-11-17 11:05:00+05:30,2025-11-17 11:05,26028.6,26031.8,26015,26026.6,28200,46.52,
2025-11-17 11:10:00+05:30,2025-11-17 11:10,26020.7,26028,26016.7,26022.8,15675,47.03,
2025-11-17 11:15:00+05:30,2025-11-17 11:15,26022.8,26024.8,26010,26012.5,22875,47.75,
2025-11-17 11:20:00+05:30,2025-11-17 11:20,26012.5,26017.3,25995.5,26015,38100,45.58,
2025-11-17 11:25:00+05:30,2025-11-17 11:25,26015,26016,25985.1,25992.8,96075,30.94,ALERT
2025-11-17 11:30:00+05:30,2025-11-17 11:30,25992.8,26004,25980,26001.9,51375,36.87,
