date,date_simple,open,high,low,close,volume,rsi,is_alert
2025-11-07 09:15:00+05:30,2025-11-07 09:15,25734.1,25740.5,25663,25678,50100,,
2025-11-07 09:20:00+05:30,2025-11-07 09:20,25678,25678,25625,25633.9,35475,,
2025-11-07 09:25:00+05:30,2025-11-07 09:25,25633.9,25652.8,25630,25650,23175,,
2025-11-07 09:30:00+05:30,2025-11-07 09:30,25650,25650,25614,25619,26025,,
2025-11-07 09:35:00+05:30,2025-11-07 09:35,25619,25640.8,25615.8,25638,21225,,
2025-11-07 09:40:00+05:30,2025-11-07 09:40,25638,25649,25633.1,25648.8,11175,,
2025-11-07 09:45:00+05:30,2025-11-07 09:45,25648.8,25675,25640,25675,15000,,
2025-11-07 09:50:00+05:30,2025-11-07 09:50,25675,25675,25636.4,25636.4,14700,,
2025-11-07 09:55:00+05:30,2025-11-07 09:55,25636.4,25643.2,25625,25635,6975,,
2025-11-07 10:00:00+05:30,2025-11-07 10:00,25635,25643.5,25625,25636,11475,,
2025-11-07 10:05:00+05:30,2025-11-07 10:05,25636.9,25647.9,25630,25631.5,4425,,
2025-11-07 10:10:00+05:30,2025-11-07 10:10,25631.5,25642.4,25624.2,25633,11250,,
2025-11-07 10:15:00+05:30,2025-11-07 10:15,25633,25645.5,25630.9,25639.4,5475,,
2025-11-07 10:20:00+05:30,2025-11-07 10:20,25639.4,25650,25636.3,25643.7,4800,,
2025-11-07 10:25:00+05:30,2025-11-07 10:25,25643.7,25655.2,25640,25646.9,4500,42.53,
2025-11-07 10:30:00+05:30,2025-11-07 10:30,25646.9,25660,25640.4,25660,5325,57.37,
2025-11-07 10:35:00+05:30,2025-11-07 10:35,25660,25668.9,25653.1,25659,3525,52.78,
2025-11-07 10:40:00+05:30,2025-11-07 10:40,25659,25674.6,25656.8,25666.9,7125,67.24,ALERT
2025-11-07 10:45:00+05:30,2025-11-07 10:45,25666.9,25675,25662,25666.9,3000,62.05,
2025-11-07 10:50:00+05:30,2025-11-07 10:50,25666.9,25675,25654.3,25672,5775,60.16,
2025-11-07 10:55:00+05:30,2025-11-07 10:55,25672,25672,25645,25648,3225,37.95,ALERT
2025-11-07 11:00:00+05:30,2025-11-07 11:00,25648,25666.5,25645,25653.1,5250,60.64,ALERT
2025-11-07 11:05:00+05:30,2025-11-07 11:05,25653.1,25661.8,25645.6,25656.8,10125,63.49,
2025-11-07 11:10:00+05:30,2025-11-07 11:10,25656,25697,25656,25695,6975,75.0,
2025-11-07 11:15:00+05:30,2025-11-07 11:15,25695,25700,25689.4,25700,9150,78.9,
2025-11-07 11:20:00+05:30,2025-11-07 11:20,25700,25714.9,25691.9,25708,9525,80.0,
2025-11-07 11:25:00+05:30,2025-11-07 11:25,25708,25730,25705.1,25730,5775,82.22,
2025-11-07 11:30:00+05:30,2025-11-07 11:30,25730,25760.7,25730,25742,17475,83.14,
2025-11-07 11:35:00+05:30,2025-11-07 11:35,25742,25753.8,25735.1,25743,9150,82.89,
2025-11-07 11:40:00+05:30,2025-11-07 11:40,25735,25739.1,25722.9,25737.7,7125,78.09,
2025-11-07 11:45:00+05:30,2025-11-07 11:45,25737.7,25743,25712.6,25712.6,3075,66.5,
2025-11-07 11:50:00+05:30,2025-11-07 11:50,25712.6,25724,25703.6,25720,4500,66.4,
2025-11-07 11:55:00+05:30,2025-11-07 11:55,25720,25730,25713.1,25720.7,1575,66.54,
2025-11-07 12:00:00+05:30,2025-11-07 12:00,25720.7,25735,25709.8,25733.8,3000,68.11,
2025-11-07 12:05:00+05:30,2025-11-07 12:05,25733.8,25733.8,25725,25725.8,750,75.16,
2025-11-07 12:10:00+05:30,2025-11-07 12:10,25725.8,25739,25725.8,25734.3,1350,75.7,
2025-11-07 12:15:00+05:30,2025-11-07 12:15,25734.3,25741,25727.4,25740,3825,76.0,
2025-11-07 12:20:00+05:30,2025-11-07 12:20,25740,25753.2,25731.4,25731.7,9150,64.1,
2025-11-07 12:25:00+05:30,2025-11-07 12:25,25731.7,25744.7,25731.7,25738.5,5250,64.59,
2025-11-07 12:30:00+05:30,2025-11-07 12:30,25738.5,25750.9,25738.5,25745.6,2550,64.35,
2025-11-07 12:35:00+05:30,2025-11-07 12:35,25745.6,25760,25740.9,25754.4,4725,60.36,
2025-11-07 12:40:00+05:30,2025-11-07 12:40,25754.4,25764.7,25752,25760.5,11025,58.27,
2025-11-07 12:45:00+05:30,2025-11-07 12:45,25760.5,25770,25754,25770,7425,61.21,ALERT
2025-11-07 12:50:00+05:30,2025-11-07 12:50,25770,25780,25751.3,25755.4,4650,56.82,
2025-11-07 12:55:00+05:30,2025-11-07 12:55,25755.4,25770.9,25753.1,25770.9,4425,74.27,ALERT
2025-11-07 13:00:00+05:30,2025-11-07 13:00,25770.9,25774.8,25766.4,25772.9,3525,73.06,
2025-11-07 13:05:00+05:30,2025-11-07 13:05,25772.9,25774,25757.6,25766.5,2775,69.02,
2025-11-07 13:10:00+05:30,2025-11-07 13:10,25766.5,25770,25760,25768.4,2325,65.84,
2025-11-07 13:15:00+05:30,2025-11-07 13:15,25768.4,25774.9,25763.3,25763.3,1950,67.64,
2025-11-07 13:20:00+05:30,2025-11-07 13:20,25763.3,25775,25763.3,25773,3375,68.0,
2025-11-07 13:25:00+05:30,2025-11-07 13:25,25773,25830,25773,25820,22125,76.88,
2025-11-07 13:30:00+05:30,2025-11-07 13:30,25820,25830,25811.5,25822,5475,81.68,
2025-11-07 13:35:00+05:30,2025-11-07 13:35,25822,25836.5,25820,25829.3,6225,81.75,
2025-11-07 13:40:00+05:30,2025-11-07 13:40,25829.3,25834,25821.9,25826.7,3450,79.28,
2025-11-07 13:45:00+05:30,2025-11-07 13:45,25826.7,25840,25822.1,25822.1,12225,75.2,
2025-11-07 13:50:00+05:30,2025-11-07 13:50,25822.1,25822.1,25802,25810,5475,67.64,
