date,date_simple,open,high,low,close,volume,rsi,is_alert
2025-11-17 09:15:00+05:30,2025-11-17 09:15,26175.1,26200,26157.2,26198.9,40575,,
2025-11-17 09:20:00+05:30,2025-11-17 09:20,26198.9,26210,26187.4,26188.2,26625,,
2025-11-17 09:25:00+05:30,2025-11-17 09:25,26188.2,26221,26188.2,26213.5,27300,,
2025-11-17 09:30:00+05:30,2025-11-17 09:30,26213.5,26229.2,26211.4,26211.4,18375,,
2025-11-17 09:35:00+05:30,2025-11-17 09:35,26211.4,26225.2,26206.6,26206.6,14850,,
2025-11-17 09:40:00+05:30,2025-11-17 09:40,26206.6,26230,26203,26230,14925,,
2025-11-17 09:45:00+05:30,2025-11-17 09:45,26230,26230,26199,26213.7,22725,,
2025-11-17 09:50:00+05:30,2025-11-17 09:50,26213.7,26220.8,26211.8,26212.9,11175,,
2025-11-17 09:55:00+05:30,2025-11-17 09:55,26212.9,26229,26212.9,26216,19200,,
2025-11-17 10:00:00+05:30,2025-11-17 10:00,26216,26220,26201,26210,13725,,
2025-11-17 10:05:00+05:30,2025-11-17 10:05,26210,26218.1,26202.1,26206,11325,,
2025-11-17 10:10:00+05:30,2025-11-17 10:10,26206,26209.6,26191.1,26203.1,13050,,
2025-11-17 10:15:00+05:30,2025-11-17 10:15,26203.1,26219.9,26201.2,26219.1,9975,,
2025-11-17 10:20:00+05:30,2025-11-17 10:20,26219.1,26225.5,26219.1,26225.5,20400,,
2025-11-17 10:25:00+05:30,2025-11-17 10:25,26225.5,26227.3,26185.7,26190.9,13500,47.44,
2025-11-17 10:30:00+05:30,2025-11-17 10:30,26190.9,26204.6,26190,26201,6525,54.11,
2025-11-17 10:35:00+05:30,2025-11-17 10:35,26201,26203.4,26186.3,26189.6,7200,41.58,
2025-11-17 10:40:00+05:30,2025-11-17 10:40,26189.6,26193.1,26173.7,26190.8,14025,42.7,
2025-11-17 10:45:00+05:30,2025-11-17 10:45,26190.8,26208.9,26190,26196.6,6075,46.48,
2025-11-17 10:50:00+05:30,2025-11-17 10:50,26193.8,26195.8,26180.1,26193.5,8250,35.0,ALERT
2025-11-17 10:55:00+05:30,2025-11-17 10:55,26193.5,26205.9,26191.8,26200,11475,43.88,
2025-11-17 11:00:00+05:30,2025-11-17 11:00,26200,26214.8,26199.9,26209.2,10875,48.46,
2025-11-17 11:05:00+05:30,2025-11-17 11:05,26209.2,26209.2,26195.7,26201.4,8850,44.16,
2025-11-17 11:10:00+05:30,2025-11-17 11:10,26201.4,26208.1,26198.5,26200,5100,45.85,
2025-11-17 11:15:00+05:30,2025-11-17 11:15,26200,26205.1,26192,26192,4950,44.37,
2025-11-17 11:20:00+05:30,2025-11-17 11:20,26192,26194.2,26181.2,26192.8,5400,45.79,
2025-11-17 11:25:00+05:30,2025-11-17 11:25,26192.8,26194,26168.5,26174.5,6225,32.1,ALERT
2025-11-17 11:30:00+05:30,2025-11-17 11:30,26174.5,26185,26165.1,26183,6750,33.23,
2025-11-17 11:35:00+05:30,2025-11-17 11:35,26183,26191.2,26178,26183.5,5100,46.0,
2025-11-17 11:40:00+05:30,2025-11-17 11:40,26183.5,26195,26182.2,26195,3900,46.81,
2025-11-17 11:45:00+05:30,2025-11-17 11:45,26195,26201.9,26189.6,26201.9,3375,56.87,
2025-11-17 11:50:00+05:30,2025-11-17 11:50,26201.9,26212.3,26199.7,26212.3,9000,60.89,ALERT
2025-11-17 11:55:00+05:30,2025-11-17 11:55,26212.3,26227.3,26208.6,26222,8775,62.38,
2025-11-17 12:00:00+05:30,2025-11-17 12:00,26222,26223.7,26210,26211,4875,57.92,
2025-11-17 12:05:00+05:30,2025-11-17 12:05,26211,26226.9,26210.1,26219,7500,58.48,
2025-11-17 12:10:00+05:30,2025-11-17 12:10,26219,26225.6,26219,26221.7,3525,55.92,
2025-11-17 12:15:00+05:30,2025-11-17 12:15,26221.7,26227.9,26220.6,26224.8,6375,61.61,ALERT
2025-11-17 12:20:00+05:30,2025-11-17 12:20,26224.8,26226.9,26222,26222.3,1875,60.94,
2025-11-17 12:25:00+05:30,2025-11-17 12:25,26222.3,26223.8,26220.9,26222,2025,65.92,
2025-11-17 12:30:00+05:30,2025-11-17 12:30,26222,26227,26216.2,26226.9,7575,67.34,
2025-11-17 12:35:00+05:30,2025-11-17 12:35,26226.9,26240,26225,26233,10875,83.97,
2025-11-17 12:40:00+05:30,2025-11-17 12:40,26233,26240,26233,26237.3,4650,83.15,
2025-11-17 12:45:00+05:30,2025-11-17 12:45,26237.3,26248,26233.2,26243.9,11175,84.32,
2025-11-17 12:50:00+05:30,2025-11-17 12:50,26243.9,26243.9,26234.5,26241,4050,78.97,
2025-11-17 12:55:00+05:30,2025-11-17 12:55,26241,26241,26236.2,26236.8,3300,72.75,
2025-11-17 13:00:00+05:30,2025-11-17 13:00,26236.8,26239.5,26232.7,26235,3150,66.67,
2025-11-17 13:05:00+05:30,2025-11-17 13:05,26235,26235,26222.2,26227,2700,53.77,
2025-11-17 13:10:00+05:30,2025-11-17 13:10,26227,26235,26226.1,26234.1,6975,68.48,ALERT
2025-11-17 13:15:00+05:30,2025-11-17 13:15,26234.1,26234.1,26229,26231.6,1950,61.05,
